mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__init_type,param_classifier__learning_rate,param_classifier__n_epochs,param_classifier__penalty,param_classifier__penalty_strength,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_specificity,split1_test_specificity,split2_test_specificity,split3_test_specificity,split4_test_specificity,mean_test_specificity,std_test_specificity,rank_test_specificity,split0_test_sensitivity,split1_test_sensitivity,split2_test_sensitivity,split3_test_sensitivity,split4_test_sensitivity,mean_test_sensitivity,std_test_sensitivity,rank_test_sensitivity,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy
3.100883675,0.095573682,0.024179506,0.00727579,zero,1,150,l1,0.1,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 150, 'classifier__penalty': 'l1', 'classifier__penalty_strength': 0.1}",0.549618321,0.610687023,0.623076923,0.784615385,0.623076923,0.638214915,0.078100649,641,0.576470588,0.576470588,0.835294118,0.870588235,0.94047619,0.759859944,0.15351652,606,0.5,0.673913043,0.222222222,0.622222222,0.043478261,0.41236715,0.241809441,527,0.438095238,0.548672566,0.289855072,0.666666667,0.075471698,0.403752248,0.20593495,578,0.592071611,0.660613811,0.569934641,0.819346405,0.285196687,0.585432631,0.173662747,645,0.538235294,0.625191816,0.52875817,0.746405229,0.491977226,0.586113547,0.091284333,626
2.956517744,0.079231787,0.029781008,0.005293561,zero,1,150,l2,0.001,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 150, 'classifier__penalty': 'l2', 'classifier__penalty_strength': 0.001}",0.648854962,0.664122137,0.753846154,0.792307692,0.638461538,0.699518497,0.061820672,530,0.694117647,0.741176471,0.835294118,0.894117647,0.845238095,0.801988796,0.073214473,553,0.565217391,0.52173913,0.6,0.6,0.260869565,0.509565217,0.127633691,418,0.530612245,0.52173913,0.627906977,0.666666667,0.338028169,0.536990638,0.113965793,420,0.677237852,0.707161125,0.812810458,0.826405229,0.43426501,0.691575935,0.141091558,613,0.629667519,0.631457801,0.717647059,0.747058824,0.55305383,0.655777006,0.069261033,453
2.68153019,0.11112957,0.023386192,0.006528248,zero,1,150,l2,0.01,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 150, 'classifier__penalty': 'l2', 'classifier__penalty_strength': 0.01}",0.641221374,0.603053435,0.730769231,0.792307692,0.584615385,0.670393423,0.079059321,608,0.682352941,0.647058824,0.811764706,0.894117647,0.80952381,0.768963585,0.091107389,599,0.565217391,0.52173913,0.577777778,0.6,0.173913043,0.487729469,0.158968647,448,0.525252525,0.48,0.597701149,0.666666667,0.228571429,0.499638354,0.149688876,483,0.711508951,0.679283887,0.813594771,0.848104575,0.394668737,0.689432184,0.160043205,615,0.623785166,0.584398977,0.694771242,0.747058824,0.491718427,0.628346527,0.08845822,551
2.771907902,0.149016644,0.019535303,0.006133323,zero,1,150,l2,0.1,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 150, 'classifier__penalty': 'l2', 'classifier__penalty_strength': 0.1}",0.603053435,0.610687023,0.653846154,0.769230769,0.653846154,0.658132707,0.059437947,624,0.576470588,0.576470588,0.823529412,0.858823529,1,0.767058824,0.166444604,601,0.652173913,0.673913043,0.333333333,0.6,0.02173913,0.456231884,0.249132753,510,0.535714286,0.548672566,0.4,0.642857143,0.042553191,0.433959437,0.210477312,565,0.666240409,0.671099744,0.645490196,0.84,0.355072464,0.635580563,0.156698398,637,0.614322251,0.625191816,0.578431373,0.729411765,0.510869565,0.611645354,0.071159719,575
3.423935986,0.122274699,0.022473335,0.010434348,zero,1,150,elasticnet,0.001,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 150, 'classifier__penalty': 'elasticnet', 'classifier__penalty_strength': 0.001}",0.648854962,0.664122137,0.753846154,0.784615385,0.646153846,0.699518497,0.058069711,530,0.694117647,0.741176471,0.835294118,0.894117647,0.857142857,0.804369748,0.074759507,549,0.565217391,0.52173913,0.6,0.577777778,0.260869565,0.505120773,0.1247618,425,0.530612245,0.52173913,0.627906977,0.65,0.342857143,0.534623099,0.108600163,425,0.677493606,0.708695652,0.813333333,0.824052288,0.437888199,0.692292616,0.139442565,610,0.629667519,0.631457801,0.717647059,0.735947712,0.559006211,0.65474526,0.064633798,459
3.458159161,0.128313144,0.022936583,0.005481787,zero,1,150,elasticnet,0.01,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 150, 'classifier__penalty': 'elasticnet', 'classifier__penalty_strength': 0.01}",0.641221374,0.625954198,0.753846154,0.792307692,0.592307692,0.681127422,0.077684732,593,0.682352941,0.682352941,0.835294118,0.894117647,0.80952381,0.780728291,0.08487541,592,0.565217391,0.52173913,0.6,0.6,0.195652174,0.496521739,0.153162009,435,0.525252525,0.494845361,0.627906977,0.666666667,0.253521127,0.513638531,0.144654084,463,0.704092072,0.68797954,0.813594771,0.841045752,0.397515528,0.688845532,0.157374495,617,0.623785166,0.602046036,0.717647059,0.747058824,0.502587992,0.638625015,0.087254443,523
3.72163763,0.22160818,0.026438189,0.008189604,zero,1,150,elasticnet,0.1,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 150, 'classifier__penalty': 'elasticnet', 'classifier__penalty_strength': 0.1}",0.603053435,0.610687023,0.653846154,0.8,0.653846154,0.664286553,0.07107538,615,0.552941176,0.576470588,0.847058824,0.870588235,1,0.769411765,0.175226991,597,0.695652174,0.673913043,0.288888889,0.666666667,0.02173913,0.469371981,0.270153394,498,0.551724138,0.548672566,0.366197183,0.697674419,0.042553191,0.441364299,0.225428317,560,0.648337596,0.670076726,0.609411765,0.839738562,0.322981366,0.618109203,0.167278234,640,0.624296675,0.625191816,0.567973856,0.768627451,0.510869565,0.619391873,0.085731975,564
1.191980267,0.140401315,0.019809246,0.003922323,zero,0.5,50,l1,0.001,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 0.5, 'classifier__n_epochs': 50, 'classifier__penalty': 'l1', 'classifier__penalty_strength': 0.001}",0.748091603,0.572519084,0.676923077,0.753846154,0.769230769,0.704122137,0.073080884,505,0.835294118,0.517647059,0.8,0.870588235,0.892857143,0.783277311,0.136510633,582,0.586956522,0.673913043,0.444444444,0.533333333,0.543478261,0.556425121,0.074801206,128,0.620689655,0.525423729,0.487804878,0.6,0.625,0.571783652,0.055175386,344,0.79258312,0.695652174,0.742222222,0.812810458,0.834886128,0.77563082,0.050385743,484,0.71112532,0.595780051,0.622222222,0.701960784,0.718167702,0.669851216,0.050644086,408
1.179870319,0.03970617,0.024719763,0.003822668,zero,0.5,50,l1,0.01,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 0.5, 'classifier__n_epochs': 50, 'classifier__penalty': 'l1', 'classifier__penalty_strength': 0.01}",0.748091603,0.564885496,0.669230769,0.761538462,0.753846154,0.699518497,0.075100877,530,0.847058824,0.494117647,0.788235294,0.894117647,0.904761905,0.785658263,0.151473903,581,0.565217391,0.695652174,0.444444444,0.511111111,0.47826087,0.538937198,0.08790338,246,0.611764706,0.52892562,0.481927711,0.597402597,0.578947368,0.5597936,0.047954621,390,0.78516624,0.69258312,0.717647059,0.828496732,0.820393375,0.768857305,0.054624261,498,0.706138107,0.59488491,0.616339869,0.702614379,0.691511387,0.662297731,0.047026507,437
1.186267567,0.069073382,0.028787088,0.005064001,zero,0.5,50,l1,0.1,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 0.5, 'classifier__n_epochs': 50, 'classifier__penalty': 'l1', 'classifier__penalty_strength': 0.1}",0.65648855,0.603053435,0.630769231,0.7,0.7,0.658062243,0.038186136,625,0.764705882,0.611764706,0.788235294,0.988235294,0.988095238,0.828207283,0.143979651,484,0.456521739,0.586956522,0.333333333,0.155555556,0.173913043,0.341256039,0.165049099,562,0.482758621,0.509433962,0.384615385,0.264150943,0.290909091,0.3863736,0.098477273,585,0.731202046,0.660358056,0.625620915,0.86379085,0.788043478,0.733803069,0.085957151,558,0.610613811,0.599360614,0.560784314,0.571895425,0.581004141,0.584731661,0.01808884,628
